ts,open,high,low,close,volume,numEvents,value
2026-01-28T14:30:00+0000,697.05,697.599,697.01,697.51,771253.0,4170,537738688.0
2026-01-28T14:31:00+0000,697.5,697.7,697.38,697.635,271513.0,2427,189393008.0
2026-01-28T14:32:00+0000,697.64,697.65,697.34,697.38,319760.0,3610,223033440.0
2026-01-28T14:33:00+0000,697.37,697.46,697.16,697.4,285614.0,3023,199167712.0
2026-01-28T14:34:00+0000,697.415,697.415,697.17,697.345,268472.0,2615,187203760.0
2026-01-28T14:35:00+0000,697.335,697.53,697.237,697.255,324243.0,3484,226131088.0
2026-01-28T14:36:00+0000,697.25,697.35,696.99,697.075,373074.0,3516,260068464.0
2026-01-28T14:37:00+0000,697.075,697.17,696.95,696.99,282025.0,2897,196581728.0
2026-01-28T14:38:00+0000,696.98,697.2,696.97,697.115,219947.0,2330,153327296.0
2026-01-28T14:39:00+0000,697.115,697.27,696.98,697.15,205687.0,2132,143387216.0
2026-01-28T14:40:00+0000,697.135,697.29,697.075,697.09,222134.0,2418,154867952.0
2026-01-28T14:41:00+0000,697.09,697.385,697.08,697.31,215410.0,2065,150197008.0
2026-01-28T14:42:00+0000,697.33,697.55,697.32,697.5,252486.0,2308,176094944.0
2026-01-28T14:43:00+0000,697.5,697.555,697.35,697.43,227603.0,1947,158742736.0
2026-01-28T14:44:00+0000,697.43,697.7,697.31,697.675,228974.0,2071,159720896.0
2026-01-28T14:45:00+0000,697.68,697.84,697.67,697.8,293885.0,2791,205056672.0
2026-01-28T14:46:00+0000,697.8,697.821,697.51,697.51,241513.0,2141,168497152.0
2026-01-28T14:47:00+0000,697.51,697.52,697.03,697.05,221721.0,2094,154596896.0
2026-01-28T14:48:00+0000,697.055,697.16,696.9,697.08,283504.0,2397,197617936.0
2026-01-28T14:49:00+0000,697.07,697.28,697.05,697.19,153303.0,1510,106878696.0
2026-01-28T14:50:00+0000,697.19,697.46,697.11,697.27,169313.0,1569,118053808.0
2026-01-28T14:51:00+0000,697.28,697.45,697.18,697.44,140475.0,1374,97951968.0
2026-01-28T14:52:00+0000,697.43,697.65,697.37,697.64,110508.0,1099,77075632.0
2026-01-28T14:53:00+0000,697.65,697.67,697.35,697.36,133125.0,1270,92850872.0
2026-01-28T14:54:00+0000,697.35,697.71,697.295,697.67,122204.0,1230,85244840.0
2026-01-28T14:55:00+0000,697.68,697.68,697.445,697.65,173582.0,1267,121089216.0
2026-01-28T14:56:00+0000,697.67,697.68,697.5,697.51,188377.0,1661,131408328.0
2026-01-28T14:57:00+0000,697.505,697.56,697.41,697.525,137056.0,1122,95596272.0
