event,ticker,name,release_date,release_time,tz_label,survey,actual,prior
ism_manufacturing,NAPMPMI Index,ISM Manufacturing PMI SA,2025-01-03,10:00:00,America/New_York,,50.5,49.2
ism_services,NAPMNMI Index,ISM Services PMI,2025-01-07,10:00:00,America/New_York,,52.6,53.5
nonfarm_payrolls,NFP TCH Index,US Employees on Nonfarm Payrol,2025-01-10,08:30:00,America/New_York,,-48.0,237.0
unemployment_rate,USURTOT Index,U-3 US Unemployment Rate Total,2025-01-10,08:30:00,America/New_York,,4.0,4.1
ppi,PPI YOY Index,US PPI Finished Goods NSA YoY%,2025-01-14,08:30:00,America/New_York,,3.1,2.8
ppi_final_demand,FDIUFDYO Index,US PPI Final Demand YoY NSA,2025-01-14,08:30:00,America/New_York,,3.8,3.5
core_cpi,CPI XYOY Index,US CPI Urban Consumers Less Fo,2025-01-15,08:30:00,America/New_York,,3.3,3.2
cpi,CPI YOY Index,US CPI Urban Consumers YoY NSA,2025-01-15,08:30:00,America/New_York,,3.0,2.9
retail_sales,RSTAMOM Index,Adjusted Retail & Food Service,2025-01-16,08:30:00,America/New_York,,-0.8,0.8
fomc_rate_decision,FDTR Index,Federal Funds Target Rate - Up,2025-01-29,14:00:00,America/New_York,,4.5,4.5
gdp,GDP CQOQ Index,GDP US Chained Dollars QoQ SAA,2025-01-30,08:30:00,America/New_York,1.6,,
pce,PCE CYOY Index,US Personal Consumption Expend,2025-01-31,08:30:00,America/New_York,3.4,2.7801,2.9886
ism_manufacturing,NAPMPMI Index,ISM Manufacturing PMI SA,2025-02-03,10:00:00,America/New_York,,50.0,50.5
ism_services,NAPMNMI Index,ISM Services PMI,2025-02-05,10:00:00,America/New_York,,53.2,52.6
nonfarm_payrolls,NFP TCH Index,US Employees on Nonfarm Payrol,2025-02-07,08:30:00,America/New_York,,42.0,-48.0
unemployment_rate,USURTOT Index,U-3 US Unemployment Rate Total,2025-02-07,08:30:00,America/New_York,,4.2,4.0
core_cpi,CPI XYOY Index,US CPI Urban Consumers Less Fo,2025-02-12,08:30:00,America/New_York,,3.1,3.3
cpi,CPI YOY Index,US CPI Urban Consumers YoY NSA,2025-02-12,08:30:00,America/New_York,,2.8,3.0
ppi,PPI YOY Index,US PPI Finished Goods NSA YoY%,2025-02-13,08:30:00,America/New_York,,2.1,3.1
ppi_final_demand,FDIUFDYO Index,US PPI Final Demand YoY NSA,2025-02-13,08:30:00,America/New_York,,3.4,3.8
retail_sales,RSTAMOM Index,Adjusted Retail & Food Service,2025-02-14,08:30:00,America/New_York,,0.0,-0.8
gdp,GDP CQOQ Index,GDP US Chained Dollars QoQ SAA,2025-02-27,08:30:00,America/New_York,1.6,,
pce,PCE CYOY Index,US Personal Consumption Expend,2025-02-28,08:30:00,America/New_York,3.4,2.9686,2.7801
ism_manufacturing,NAPMPMI Index,ISM Manufacturing PMI SA,2025-03-03,10:00:00,America/New_York,,48.9,50.0
ism_services,NAPMNMI Index,ISM Services PMI,2025-03-05,10:00:00,America/New_York,,50.8,53.2
nonfarm_payrolls,NFP TCH Index,US Employees on Nonfarm Payrol,2025-03-07,08:30:00,America/New_York,,67.0,42.0
unemployment_rate,USURTOT Index,U-3 US Unemployment Rate Total,2025-03-07,08:30:00,America/New_York,,4.2,4.2
core_cpi,CPI XYOY Index,US CPI Urban Consumers Less Fo,2025-03-12,08:30:00,America/New_York,,2.8,3.1
cpi,CPI YOY Index,US CPI Urban Consumers YoY NSA,2025-03-12,08:30:00,America/New_York,,2.4,2.8
ppi,PPI YOY Index,US PPI Finished Goods NSA YoY%,2025-03-13,08:30:00,America/New_York,,0.8,2.1
ppi_final_demand,FDIUFDYO Index,US PPI Final Demand YoY NSA,2025-03-13,08:30:00,America/New_York,,3.2,3.4
retail_sales,RSTAMOM Index,Adjusted Retail & Food Service,2025-03-17,08:30:00,America/New_York,,1.7,0.0
fomc_rate_decision,FDTR Index,Federal Funds Target Rate - Up,2025-03-19,14:00:00,America/New_York,,4.5,4.5
gdp,GDP CQOQ Index,GDP US Chained Dollars QoQ SAA,2025-03-27,08:30:00,America/New_York,1.6,-0.6,1.9
pce,PCE CYOY Index,US Personal Consumption Expend,2025-03-28,08:30:00,America/New_York,3.4,2.6703,2.9686
ism_manufacturing,NAPMPMI Index,ISM Manufacturing PMI SA,2025-04-01,10:00:00,America/New_York,,48.8,48.9
ism_services,NAPMNMI Index,ISM Services PMI,2025-04-03,10:00:00,America/New_York,,51.6,50.8
nonfarm_payrolls,NFP TCH Index,US Employees on Nonfarm Payrol,2025-04-04,08:30:00,America/New_York,,108.0,67.0
unemployment_rate,USURTOT Index,U-3 US Unemployment Rate Total,2025-04-04,08:30:00,America/New_York,,4.2,4.2
core_cpi,CPI XYOY Index,US CPI Urban Consumers Less Fo,2025-04-10,08:30:00,America/New_York,,2.8,2.8
cpi,CPI YOY Index,US CPI Urban Consumers YoY NSA,2025-04-10,08:30:00,America/New_York,,2.3,2.4
ppi,PPI YOY Index,US PPI Finished Goods NSA YoY%,2025-04-11,08:30:00,America/New_York,,0.3,0.8
ppi_final_demand,FDIUFDYO Index,US PPI Final Demand YoY NSA,2025-04-11,08:30:00,America/New_York,,2.4,3.2
retail_sales,RSTAMOM Index,Adjusted Retail & Food Service,2025-04-16,08:30:00,America/New_York,,-0.1,1.7
gdp,GDP CQOQ Index,GDP US Chained Dollars QoQ SAA,2025-04-30,08:30:00,America/New_York,1.6,,
pce,PCE CYOY Index,US Personal Consumption Expend,2025-04-30,10:00:00,America/New_York,3.4,2.6148,2.6703
ism_manufacturing,NAPMPMI Index,ISM Manufacturing PMI SA,2025-05-01,10:00:00,America/New_York,,48.6,48.8
nonfarm_payrolls,NFP TCH Index,US Employees on Nonfarm Payrol,2025-05-02,08:30:00,America/New_York,,13.0,108.0
unemployment_rate,USURTOT Index,U-3 US Unemployment Rate Total,2025-05-02,08:30:00,America/New_York,,4.3,4.2
ism_services,NAPMNMI Index,ISM Services PMI,2025-05-05,10:00:00,America/New_York,,50.2,51.6
fomc_rate_decision,FDTR Index,Federal Funds Target Rate - Up,2025-05-07,14:00:00,America/New_York,,4.5,4.5
core_cpi,CPI XYOY Index,US CPI Urban Consumers Less Fo,2025-05-13,08:30:00,America/New_York,,2.8,2.8
cpi,CPI YOY Index,US CPI Urban Consumers YoY NSA,2025-05-13,08:30:00,America/New_York,,2.4,2.3
ppi,PPI YOY Index,US PPI Finished Goods NSA YoY%,2025-05-15,08:30:00,America/New_York,,1.2,0.3
