symbol,date,n_ticks,n_trades,n_quotes,q_spread_med,q_spread_mean,q_spread_bps_med,q_spread_bps_mean,twa_spread,twa_spread_bps,eff_spread_med,eff_spread_bps_med,mid_med,bid_sz_med,ask_sz_med,first_ts,last_ts
QQQ,2026-01-27,5292839,250140,5042699,0.01,0.00976,0.1585,0.1548,0.01031,0.1634,0.01,0.1584,631.045,360,360,14:30:00Z,21:00:00Z
QQQ,2026-01-28,8402749,340029,8062720,0.01,0.01013,0.1578,0.1599,0.01106,0.1745,0.01,0.1577,633.605,360,360,14:30:00Z,21:00:00Z
QQQ,2026-01-29,12924543,557834,12366709,0.01,0.01192,0.1603,0.1908,0.01285,0.2056,0.01,0.1598,625.0,200,240,14:30:00Z,21:00:00Z
QQQ,2026-01-30,13594697,481071,13113626,0.01,0.01368,0.1607,0.2192,0.01584,0.2539,0.01,0.1603,623.89,200,200,14:30:00Z,21:00:00Z
QQQ,2026-02-02,8270675,359532,7911143,0.01,0.01206,0.1596,0.1928,0.0119,0.19,0.01,0.1595,626.625,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-03,14082273,599635,13482638,0.01,0.01233,0.1626,0.1997,0.01313,0.2127,0.01,0.1619,617.375,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-04,14553356,610713,13942643,0.02,0.01644,0.3263,0.2706,0.01745,0.2874,0.01,0.1649,607.285,160,160,14:30:00Z,21:00:00Z
QQQ,2026-02-05,14963597,616299,14347298,0.02,0.01759,0.3325,0.2935,0.01952,0.326,0.01,0.1672,598.81,160,160,14:30:00Z,21:00:00Z
QQQ,2026-02-06,11620544,575408,11045136,0.01,0.01226,0.1651,0.2027,0.01202,0.1984,0.01,0.1645,605.73,200,240,14:30:00Z,21:00:00Z
QQQ,2026-02-09,9313483,420369,8893114,0.01,0.01142,0.1629,0.1866,0.01089,0.1774,0.01,0.1626,613.955,240,280,14:30:00Z,21:00:00Z
QQQ,2026-02-10,10904139,429823,10474316,0.01,0.00981,0.1627,0.1597,0.01055,0.1716,0.01,0.1626,614.57,280,280,14:30:00Z,21:00:00Z
QQQ,2026-02-11,11465114,424227,11040887,0.01,0.01213,0.1634,0.198,0.01256,0.2051,0.01,0.1631,612.635,200,200,14:30:00Z,21:00:00Z
QQQ,2026-02-12,15238973,636962,14602011,0.01,0.01262,0.1658,0.2083,0.01402,0.2322,0.01,0.1655,603.955,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-13,17188215,514609,16673606,0.01,0.0148,0.1662,0.2456,0.01502,0.2489,0.01,0.1659,603.3,160,160,14:30:00Z,21:00:00Z
QQQ,2026-02-17,15465337,557654,14907683,0.01,0.01328,0.1671,0.2217,0.01384,0.2307,0.01,0.1665,599.785,160,160,14:30:00Z,21:00:00Z
QQQ,2026-02-18,11412592,530336,10882256,0.01,0.01116,0.1647,0.1842,0.01132,0.1864,0.01,0.1646,607.175,280,280,14:30:00Z,21:00:00Z
QQQ,2026-02-19,12236034,473068,11762966,0.01,0.01143,0.1659,0.1896,0.0115,0.1907,0.01,0.1658,602.955,200,200,14:30:00Z,21:00:00Z
QQQ,2026-02-20,12456718,571089,11885629,0.01,0.01624,0.1652,0.2677,0.0174,0.2865,0.01,0.1647,607.415,200,200,14:30:00Z,21:00:00Z
QQQ,2026-02-23,12178404,526630,11651774,0.01,0.0118,0.1665,0.1959,0.01185,0.1971,0.01,0.1663,601.165,200,200,14:30:00Z,21:00:00Z
QQQ,2026-02-24,8033611,410770,7622841,0.01,0.01438,0.1648,0.2373,0.01393,0.2293,0.01,0.1646,607.225,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-25,5653208,417023,5236185,0.01,0.0106,0.1626,0.1724,0.01042,0.1695,0.01,0.1625,614.925,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-26,12469022,821263,11647759,0.01,0.01077,0.1646,0.177,0.01078,0.1774,0.01,0.1644,607.82,240,240,14:30:00Z,21:00:00Z
QQQ,2026-02-27,9594209,566017,9028192,0.01,0.01259,0.165,0.2077,0.01275,0.2104,0.01,0.1649,606.185,160,160,14:30:00Z,21:00:00Z
QQQ,2026-03-02,11028259,673806,10354453,0.01,0.01279,0.1649,0.211,0.01224,0.2016,0.01,0.1646,606.905,200,200,14:30:00Z,21:00:00Z
QQQ,2026-03-03,16910168,857365,16052803,0.01,0.01396,0.1677,0.2332,0.01431,0.2389,0.01,0.167,598.935,160,160,14:30:00Z,21:00:00Z
QQQ,2026-03-04,10697393,567438,10129955,0.01,0.01199,0.1637,0.1969,0.01175,0.1924,0.01,0.1636,610.765,200,200,14:30:00Z,21:00:00Z
